index,nctId,claim,PMID,article_title,article_abstract,label,outcome_type,outcome_title,outcome_description,intervention_group_title,comparator_group_title,intervention_group_description,comparator_group_description,intervention_group_intervention_label,comparator_group_intervention_label,intervention_group_arm_group_type,comparator_group_arm_group_type,pValues,statisticalMethods,nonInferiorityTypes,Publication Date
7309,NCT03952546,Treatment Arm is non-inferior to Control Arm in terms of Hemostasis Postoperative day 1,23385607,Total joint replacement and blood loss: what is the best equation?,"With the population aging, total joint replacements which are an effective method to restore patient's mobility are an increasing necessity. However, such operations are known to entail serious blood loss, which may have dramatic consequences in patients with chronic diseases or when the prosthesis is revised, a situation where the blood loss is even higher. Therefore, formulas to better estimate the blood loss are available. These formulas may also be used for clinical studies to compare blood loss between different joint replacement techniques. The aim of this review is to provide a clear understanding of the formulas and to help physicians to further improve their blood loss estimation. Moreover, surgeons will then be able to choose the most accurate and user-friendly formula for more comparable data between clinical studies.",2,PRIMARY,Hemostasis,Postoperative day 1 estimated blood loss as calculated by the Gross' Formula,Treatment Arm,Control Arm,"Saline-coupled bipolar sealer

Saline-coupled Bipolar Sealer: The Aquamantys® System is a commercially available device used routinely used in the operating room for a wide variety of surgical cases. It allows for temperatures to stay at approximately 100°C, nearly 200°C less than conventional devices, which produces a tissue effect without the charring associated with other methods. The temperature is sufficient to shrink collagen fibers in the walls of blood vessels, effectively sealing the blood vessels, resulting in the reduction in bleeding from both soft tissue and bone. The device can be used to spot coagulate vessels that are actively bleeding or to broadly paint tissue surfaces to prevent bleeding or treat active oozing.","Unipolar electrocautery

Unipolar electrocautery: The Coviden ForceTriad™ energy platform is a full-featured electrosurgical system that provides electrosurgical cutting and coagulation, bipolar functionality, and vessel sealing in a single generator.",DEVICE,DEVICE,EXPERIMENTAL,ACTIVE_COMPARATOR,['0.1254'],"['t-test, 1 sided']",['Non-Inferiority'],2013-Apr-N/A
10480,NCT01087736,"Topiramate is superior or other to Placebo in terms of Percent Drinking Days (%DD) Weekly, weeks 1-12, average",7771669,The Obsessive Compulsive Drinking Scale: a self-rated instrument for the quantification of thoughts about alcohol and drinking behavior.,"It has been suggested that a crucial dimension of alcohol ""craving"" includes the concept of both obsessive thoughts about alcohol use and compulsive behaviors toward drinking. An interview-based rating scale, the Yale-Brown Obsessive Compulsive Scale-heavy drinkers (YBOCS-hd), has been found useful in quantifying this concept in alcohol-dependent individuals. A self-rating scale, the Obsessive Compulsive Drinking Scale (OCDS) has been developed by us as a modification of the YBOCS-hd. The YBOCS-hd showed excellent interrater reliability in our hands. The correlation between the YBOCS-hd and the OCDS total scores obtained on 60 alcohol-dependent individuals was 0.83. The test-retest correlation for the OCDS total score was 0.96, and the obsessive and compulsive subscales test-retest correlations were 0.94 and 0.86, respectively. The internal consistency of the items in the OCDS was high (0.86) and did not improve significantly with removal of individual items. The shared variance between the OCDS scores and alcohol consumption during the period of evaluation was only approximately 20%, indicating that the dimension measured by the scale was somewhat independent of actual drinking. As such, it might act as an independent measure of the ""state of illness"" for alcohol-dependent individuals. When used during a prospective 12-week treatment research study, initial results indicate that the OCDS seems to validly measure a dimension of alcohol dependence, because it decreased from baseline during alcohol reduction and increased in relationship to relapse drinking.(ABSTRACT TRUNCATED AT 250 WORDS)",2,PRIMARY,Percent Drinking Days (%DD),"Alcohol consumption was assessed at baseline and weekly during the treatment phase (12 weeks) using the Time Line Follow Back (TLFB) interview which yields number of days of alcohol use (DD).

DD: day on which alcohol was consumed Standard alcoholic drink defined as containing 13.6 g of pure alcohol.",Topiramate,Placebo,"Topiramate: topiramate titrated up over 5 weeks, beginning at 25 mg per day, and increased in the second week to 25 mg twice per day; in the third week to 50 mg twice/day; in the fourth week to 75 mg twice/day; in the 5th week to 100 mg twice/day; and in weeks 6-11 increased to and maintained at 100 mg in the morning and 200 mg at night. Upon completing the 6 week maintenance period dosage was tapered off over a 7-day period (Week 12).","Placebo: Placebo pills prepared by the UCSF pharmacy were indistinguishable from the topiramate pills used in that arm. The dosing of placebo pills followed the same regimen as outlined for the topiramate arm. In the event of a safety issue, there would be a procedure for unblinding only that participant.",DRUG,OTHER,EXPERIMENTAL,PLACEBO_COMPARATOR,"['0.019', '0.00', '0.036']","['negative binomial regression', 'Other', 'Negative binomial model']",['Superiority or Other'],1995-Feb-N/A
10643,NCT01339910,Reduced Intensity Conditioning (RIC) is superior to Myeloablative Conditioning Regimen (MAC) in terms of Percentage of Participants With Overall Survival (OS) 18 months post-randomization,16338616,National Institutes of Health consensus development project on criteria for clinical trials in chronic graft-versus-host disease: I. Diagnosis and staging working group report.,"This consensus document is intended to serve 3 functions. First, it standardizes the criteria for diagnosis of chronic graft-versus-host disease (GVHD). Second, it proposes a new clinical scoring system (0-3) that describes the extent and severity of chronic GVHD for each organ or site at any given time, taking functional impact into account. Third, it proposes new guidelines for global assessment of chronic GVHD severity that are based on the number of organs or sites involved and the degree of involvement in affected organs (mild, moderate, or severe). Diagnosis of chronic GVHD requires the presence of at least 1 diagnostic clinical sign of chronic GVHD (e.g., poikiloderma or esophageal web) or the presence of at least 1 distinctive manifestation (e.g., keratoconjunctivitis sicca) confirmed by pertinent biopsy or other relevant tests (e.g., Schirmer test) in the same or another organ. Furthermore, other possible diagnoses for clinical symptoms must be excluded. No time limit is set for the diagnosis of chronic GVHD. The Working Group recognized 2 main categories of GVHD, each with 2 subcategories. The acute GVHD category is defined in the absence of diagnostic or distinctive features of chronic GVHD and includes (1) classic acute GVHD occurring within 100 days after transplantation and (2) persistent, recurrent, or late acute GVHD (features of acute GVHD occurring beyond 100 days, often during withdrawal of immune suppression). The broad category of chronic GVHD includes (1) classic chronic GVHD (without features or characteristics of acute GVHD) and (2) an overlap syndrome in which diagnostic or distinctive features of chronic GVHD and acute GVHD appear together. It is currently recommended that systemic therapy be considered for patients who meet criteria for chronic GVHD of moderate to severe global severity.",2,PRIMARY,Percentage of Participants With Overall Survival (OS),Overall survival is defined as survival of death from any cause.,Reduced Intensity Conditioning (RIC),Myeloablative Conditioning Regimen (MAC),"One of two different regimens in RIC will be administered; fludarabine and busulfan, or fludarabine and melphalan.

Fludarabine and Busulfan: (Flu/Bu)

* Fludarabine: 30 mg/m\^2/day on Days -6 to -2 (total dose of 150 mg/m\^2)
* Busulfan: 4 mg/kg/day PO or 3.2 mg/kg/day (total dose of 8 mg/kg or 6.4 mg/kg, respectively) on Days -5 to -4

Fludarabine and Melphalan: (Flu/Mel)

* Fludarabine: 30 mg/m\^2/day on Days -5 to -2 (total dose of 120 mg/m\^2)
* Melphalan: 140 mg/m\^2 on Day -2","One of three different regimens in MAC will be administered; busulfan and fludarabine, busulfan and cyclophosphamide, or cyclophosphamide and total body irradiation.

Busulfan and Fludarabine: (Bu/Flu)

* Busulfan: 4 mg/kg/day PO, 3.2 mg/kg/day IV or mg/m\^2/day with Bu Css 900±100 ng/mL (total dose of 16 mg/kg, 12.8 mg/kg or 520 mg/m\^2, respectively) on Days -5 to -2
* Fludarabine: 30 mg/m\^2/day on Days -5 to -2: Flu (total dose of 120 mg/m\^2)

Busulfan and Cyclophosphamide: (Bu/Cy)

* Busulfan: 4 mg/kg/day PO, 3.2 mg/kg/day IV or 130 mg/m\^2/day with Bu Css 900 ± 100 ng/mL (total dose of 16 mg/kg or 12.8 mg/kg or 520 mg/m\^2, respectively) on Days -7 to -4
* Cyclophosphamide: 60 mg/kg/day on Days -3 to -2 (total dose of 120 mg/kg)

Cyclophosphamide and Total Body Irradiation: (Cy/TBI)

* TBI: 1200-1420 cGy on Days -7 to -4
* Cyclophosphamide: 60 mg/kg/day on Days -3 to -2 (total dose of 120 mg/kg)",DRUG,DRUG,EXPERIMENTAL,ACTIVE_COMPARATOR,['0.07'],['Difference in Kaplan-Meier estimators'],['Superiority'],2005-Dec-N/A
5446,NCT03700671,High Intensity Interval Training is superior to Circuit Training in terms of Maximal Oxygen Consumption (ml.Kg-1.Min-1) Baseline and 8 weeks,30051418,The effect of 12 weeks of combined upper- and lower-body high-intensity interval training on muscular and cardiorespiratory fitness in older adults.,"BACKGROUND: High-intensity interval training (HIT) can impact cardiorespiratory and muscular fitness simultaneously, yet protocols typically focus on lower-body exercise. For older adults however, performing activities of daily living requires upper- and lower-body fitness.
AIMS: To assess the effects of combined upper- and lower-body HIT on fitness in adults aged > 50 years.
METHODS: Thirty-six adults (50-81 years; 21 male) were assigned via minimisation to either HIT (n = 18) or a no-exercise control group (CON, n = 18) following baseline assessment of leg extensor muscle power, handgrip strength, cardiorespiratory fitness (predicted VO
RESULTS: All participants completed the intervention with mean (82 ± 6%HR
CONCLUSION: Combined upper- and lower-body HIT has small clinically relevant beneficial effects on muscular and cardiorespiratory fitness in older adults.",2,PRIMARY,Maximal Oxygen Consumption (ml.Kg-1.Min-1),"Maximal oxygen consumption (ml.kg-1.min-1), as determined during a cardiopulmonary exercise test (CPET) represents the upper limit of aerobic fitness in humans. A low VO2max is associated with a greater risk of premature all-cause and cardiovascular mortality, independent of traditional risk factors and physical activity status. Conversely, increasing VO2max through exercise training may improve cardiometabolic health, quality of life and increase life-expectancy",High Intensity Interval Training,Circuit Training,"High intensity interval training was set at \> 85% HRmax. Active recovery was set at 25-50 watts. Sessions were performed using cycle ergometry.

High intensity interval training: Participants performed HIIT twice a week for eight weeks. Findings were compared to moderate intensity continuous training which followed the same exercise frequency and duration","The circuit training group completed a practical seven-station mixed modality exercise circuit (cycle ergometer, rower, treadmill, sit to stand, knee to elbow and leg kickback with bicep curl) at an intensity of 60-80%. Participants initially performed 20 minutes of CT with duration gradually increased to the desired 40 minutes as tolerated. Each station was occupied for three to six minutes depending on session duration with minimal rest in-between.

Circuit training: The CT group completed a practical seven-station mixed modality exercise circuit (cycle ergometer, rower, treadmill, sit to stand, knee to elbow and leg kickback with bicep curl) at an intensity of 60-80% HRmax twice per week for eight weeks. Participants initially performed 20 minutes of CT with duration gradually increased to the desired 40 minutes as tolerated",OTHER,OTHER,EXPERIMENTAL,ACTIVE_COMPARATOR,['<0.01'],['ANOVA'],['Superiority'],2019-May-N/A
7479,NCT02113241,Dapagliflozin is superior to Placebo in terms of Stumvoll Index (First Phase of Insulin Secretion) at Week 12. Week 12,24105299,"Clinical pharmacokinetics and pharmacodynamics of dapagliflozin, a selective inhibitor of sodium-glucose co-transporter type 2.","Sodium-glucose co-transporter 2 (SGLT2) is predominantly expressed in the S1 segment of the proximal tubule of the kidney and is the major transporter responsible for mediating renal glucose reabsorption. Dapagliflozin is an orally active, highly selective SGLT2 inhibitor that improves glycemic control in patients with type 2 diabetes mellitus (T2DM) by reducing renal glucose reabsorption leading to urinary glucose excretion (glucuresis). Orally administered dapagliflozin is rapidly absorbed generally achieving peak plasma concentrations within 2 h. Dose-proportional systemic exposure to dapagliflozin has been observed over a wide dose range (0.1-500 mg) with an oral bioavailability of 78 %. Dapagliflozin has extensive extravascular distribution (mean volume of distribution of 118 L). Dapagliflozin metabolism occurs predominantly in the liver and kidneys by uridine diphosphate-glucuronosyltransferase-1A9 to the major metabolite dapagliflozin 3-O-glucuronide (this metabolite is not an SGLT2 inhibitor at clinically relevant exposures). Dapagliflozin is not appreciably cleared by renal excretion (<2 % of dose is recovered in urine as parent). Dapagliflozin 3-O-glucuronide elimination occurs mainly via renal excretion, with 61 % of a dapagliflozin dose being recovered as this metabolite in urine. The half-life for orally administered dapagliflozin 10 mg was 12.9 h. Maximal increases in urinary glucose excretion were seen at doses ≥20 mg/day in patients with T2DM. No clinically relevant differences were observed in dapagliflozin exposure with respect to age, race, sex, body weight, food, or presence of T2DM. Pharmacodynamic changes are dependent on plasma glucose and renal function, and decreases in urinary glucose excretion were observed due to the lower filtered load (plasma glucose × glomerular filtration rate) in healthy volunteers compared to subjects with T2DM. After multiple doses of dapagliflozin, urinary glucose excretion was associated with dose-related decreases in plasma glucose parameters in subjects with T2DM. Patients with severe renal or hepatic impairment show higher systemic exposure to dapagliflozin. No clinically relevant drug interactions were observed that would necessitate dose adjustment of dapagliflozin when administered with other antidiabetic or cardiovascular medications, as well as drugs that could potentially influence dapagliflozin metabolism.",2,PRIMARY,Stumvoll Index (First Phase of Insulin Secretion) at Week 12.,"Human studies support the critical physiologic role of the first-phase of insulin secretion in the maintenance of postmeal glucose homeostasis.

First phase of insulin secretion was estimated using the Stumvoll index (1283+ 1.829 x insulin 30' - 138.7 x glucose 30' + 3.772 x insulin 0'), the entered values reflect the frst phase of insulin secretion at week 12.",Dapagliflozin,Placebo,"Dapagliflozin capsules, 10 mg, one per day before breakfast during 90 days.

Dapagliflozin: Dapagliflozin capsules, 10 mg, one per day before breakfast during 90 days.","Placebo capsules, 10 mg, one per day before breakfast during 90 days.

Placebo: Placebo capsules, 10 mg, one per day before breakfast during 90 days.",DRUG,DRUG,EXPERIMENTAL,PLACEBO_COMPARATOR,"['0.791', '0.413']","['Wilcoxon (Mann-Whitney)', 'Wilcoxon (Mann-Whitney)']",['Superiority'],2014-Jan-N/A
5587,NCT02978157,Esomeprazole+Bismuth+Tetra+Levo is superior to Esomeprazole+Amox+Levo in terms of Number of Participants in Which H. Pylori Was Eradicated six weeks after the end of anti-H pylori therapy.,9451668,Correlation of serum immunoglobulin G Helicobacter pylori antibody titers with histologic and endoscopic findings in patients with dyspepsia.,"Serum immunoglobulin G (IgG) antibody tests are used extensively. We attempted to find out whether the titers of anti-Helicobacter pylori IgG antibody correlated with the degree of macroscopic gastrointestinal damage, the severity of antral gastritis, and the density of antral H. pylori colonization in symptomatic patients. Peripyloric antral biopsy specimens were obtained from 50 consecutive patients with dyspepsia undergoing upper gastrointestinal endoscopy. The macroscopic gastrointestinal damage and the histologic grades of antral gastritis were scored by a modified Lanza scale and Sydney system, respectively. In addition, the densities of antral H. pylori colonization were graded semiquantitatively. Serum IgG antibodies to H. pylori were measured by enzyme-linked immunosorbent assay. Thirty-six (M/F = 29/7) of the 50 patients had H. pylori infection documented by histologic examination or rapid urease test or both. Among the subjects, the IgG antibody titers to H. pylori correlated significantly with the grades of antral polymorphonuclear cell infiltration (p = 0.002) and antral bacterial density (p = 0.01) but not with endoscopic scores, the grades of mononuclear cell infiltration, mucosal atrophy, or intestinal metaplasia (p > 0.05). In addition, endoscopic scores also were found to be significantly correlated with antral bacterial density (p = 0.049) and the grade of polymorphonuclear cell infiltration (p = 0.012). We therefore conclude that high titers of IgG antibody to H. pylori in patients with dyspepsia indicate dense H. pylori colonization and severe antral polymorphonuclear cell infiltration. However, it cannot replace endoscopic examination to evaluate the degree of macroscopic gastrointestinal damage.",2,PRIMARY,Number of Participants in Which H. Pylori Was Eradicated,Number of participants with negative H pylori status in follow-up tests as a measure of successful eradication,Esomeprazole+Bismuth+Tetra+Levo,Esomeprazole+Amox+Levo,"esomeprazole 40 mg b.d., bismuth 120 mg q.d.s., tetracycline 500 mg q.d.s., and levofloxacin 500 mg o.d.

esomeprazole+bismuth+tetra+levo: esomeprazole 40 mg b.d., bismuth 120 mg q.d.s., tetracycline 500 mg q.d.s., and levofloxacin 500 mg o.d.","esomeprazole 40 mg b.d., amoxicillin 500 mg q.d.s., and levofloxacin 500 mg o.d.

esomeprazole+amox+levo: esomeprazole 40 mg b.d., amoxicillin 500 mg q.d.s., levofloxacin 500 mg o.d.",DRUG,DRUG,EXPERIMENTAL,ACTIVE_COMPARATOR,['<0.001'],['Chi-squared'],['Superiority'],1997-Dec-N/A
5824,NCT00309452,STEP Care is superior or other to Treatment as Usual in terms of Number of Patients Hospitalized 1 year after enrollment,21762843,"Hoofbeats and zebras: neurodegenerative disorder presenting as a ""first episode"" of psychosis.","Neurodegenerative disorders can include diverse neuropsychiatric symptoms. Here we present a case referred to a ""first-episode"" psychosis clinic with socio-occupational decline, auditory hallucinations and paranoid ideation who subsequently exhibited a rapid, severe cognitive and behavioral decline. The brain magnetic resonance imaging findings of the patient have shown a progressive cortical atrophy prominent in the frontal lobes due to a neurodegenerative disorder.",2,PRIMARY,Number of Patients Hospitalized,No Description Available,STEP Care,Treatment as Usual,"Integrated and comprehensive treatment provided by a specialized team in a public mental health center.Interventions include pharmacotherapy, family education, cognitive behavioral group and individual psychotherapy and case management focused on vocational rehabilitation.

Cognitive Behavioral Group Therapy: once per week

Cognitive remediation: as needed

Medications: Individualized prescription of psychotropic medications including but not restricted to antipsychotic, antidepressant and mood stabilizers.

MFG: Multi-Family psychoeducation Group based on the model published by McFarlane et al.

Assertive case management: Meetings with an individual clinician (social work or nursing) who provides supportive psychotherapy, helps assist with vocational and educational supports.","Referral to community providers.

Treatment as Usual in the community: Subjects randomized to this arm either return to their existing outpatient psychiatrist or, if they do not have one yet, are referred by the clinic to preferred providers in the community. The nature of the interventions provided is variable and is being monitored by the research clinic.",BEHAVIORAL,OTHER,EXPERIMENTAL,ACTIVE_COMPARATOR,['0.018'],"['Chi-squared, Corrected']",['Superiority or Other'],2011-N/A-N/A
8931,NCT00458003,Phenylephrine is superior to Ephedrine in terms of The Umbilical Artery pH Immediately after delivery,14977792,Comparison of phenylephrine infusion regimens for maintaining maternal blood pressure during spinal anaesthesia for Caesarean section.,"BACKGROUND: During spinal anaesthesia for Caesarean section, the optimal phenylephrine regimen and the optimal blood pressure (BP) to which it should be titrated are undetermined. The ideal regimen would balance efficacy for maintaining uteroplacental perfusion pressure against potential for uteroplacental vasoconstriction, both of which may affect fetal acid-base status. We compared phenylephrine infusion regimens based on three different BP thresholds.
METHODS: After intrathecal injection, we infused phenylephrine 100 microg min(-1) for 2 min. Then, until delivery, we infused phenylephrine whenever systolic BP (SBP), measured every 1 min, was below a randomly assigned percentage of baseline: 100% (Group 100, n=25), 90% (Group 90, n=25) or 80% (Group 80, n=24). We compared umbilical blood gases, Apgar scores and maternal haemodynamics and symptoms.
RESULTS: Patients in Group 100 had fewer episodes [median 0 (range 0-8)] of hypotension (SBP <80% baseline) compared with Group 80 [5 (0-18)] and Group 90 [2 (0-7)] (P<0.001 in each instance). Total dose of phenylephrine was greater in Group 100 [median 1520 microg (interquartile range 1250-2130 microg)] compared with Group 90 [1070 (890-1360) microg] and Group 80 [790 (590-950) microg]. Umbilical arterial pH was greater in Group 100 [mean 7.32 (95% confidence interval 7.31-7.34)] than in Group 80 [7.30 (7.28-7.31)] (P=0.034). No patient had umbilical arterial pH <7.2. In Group 100, 1/24 (4%) patients had nausea or vomiting compared with 4/25 (16%) in Group 90 and 10/25 (40%) in Group 80 (P=0.006).
CONCLUSIONS: For optimal management, phenylephrine should be titrated to maintain maternal BP at near-baseline values.",2,PRIMARY,The Umbilical Artery pH,"The umbilical artery blood pH immediately after delivery. The pH scale ranges from 0 to 14. A normal pH sample from the umbilical artery ranges from pH: 7.18 - 7.38.

The lower the pH the more acidic and the higher the pH the more basic.",Phenylephrine,Ephedrine,"Subject will receive a phenylephrine infusion to prevent and to treat hypotension associated with spinal anesthesia

Phenylephrine: Phenylephrine concentration: 100 mcg/mL. The infusion will be initiated immediately after completion of the spinal injection at a rate of 1 mL/min and continued for a minimum of 2 min after which the infusion will be stopped, continued or increased based on the SBP each minute. After each SBP measurement the infusion will be stopped if SBP \> 80% baseline, and the infusion will be continued or restarted if the SBP is approximately equal to 80% baseline. The infusion will be increased by 1 mL/min if the SBP \< 80% baseline. Each time there is hypotension the patient will receive a 1 mL IV bolus of the study solution and the infusion will be increased by 1 mL/min until delivery.","Subject will receive an ephedrine infusion to prevent and to treat hypotension associated with spinal anesthesia

Ephedrine: Ephedrine concentration: 8 mg/mL. The infusion will be initiated immediately after completion of the spinal injection at a rate of 1 mL/min and continued for a minimum of 2 min after which the infusion will be stopped, continued or increased based on the SBP each minute. After each SBP measurement the infusion will be stopped if SBP \> 80% baseline, and the infusion will be continued or restarted if the SBP is approximately equal to 80% baseline. The infusion will be increased by 1 mL/min if the SBP \< 80% baseline. Each time there is hypotension the patient will receive a 1 mL IV bolus of the study solution and the infusion will be increased by 1 mL/min until delivery.",DRUG,DRUG,EXPERIMENTAL,ACTIVE_COMPARATOR,['.38'],['Wilcoxon (Mann-Whitney)'],['Superiority'],2004-Apr-N/A
946,NCT02175212,Long Term Androgen Deprivation is superior or other to Short Term Androgen Deprivation in terms of Biochemical Disease Free Survival: Estimated Percentage of Participants With Biochemical Disease-free Survival at 5 Years 5 years,16170164,Risk-adapted androgen deprivation and escalated three-dimensional conformal radiotherapy for prostate cancer: Does radiation dose influence outcome of patients treated with adjuvant androgen deprivation? A GICOR study.,"PURPOSE: Multicenter study conducted to determine the impact on biochemical control and survival of risk-adapted androgen deprivation (AD) combined with high-dose three-dimensional conformal radiotherapy (3DCRT) for prostate cancer. Results of biochemical control are reported.
PATIENTS AND METHODS: Between October 1999 and October 2001, 416 eligible patients with prostate cancer were assigned to one of three treatment groups according to their risk factors: 181 low-risk patients were treated with 3DCRT alone; 75 intermediate-risk patients were allocated to receive neoadjuvant AD (NAD) 4-6 months before and during 3DCRT; and 160 high-risk patients received NAD and adjuvant AD (AAD) 2 years after 3DCRT. Stratification was performed for treatment/risk group and total radiation dose.
RESULTS: After a median follow-up of 36 months (range, 18 to 63 months), the actuarial biochemical disease-free survival (bDFS) at 5 years for all patients was 74%. The corresponding figures for low-risk, intermediate-risk, and high-risk disease were 80%, 73%, and 79%, respectively (P = .847). Univariate analysis showed that higher radiation dose was the only significant factor associated with bDFS for all patients (P = .0004). When stratified for treatment group, this benefit was evident for low-risk patients (P = .009) and, more interestingly, for high-risk patients treated with AAD. The 5-year bDFS for high-risk patients treated with AAD was 63% for radiation doses less than 72 Gy and 84% for those > or = 72 Gy (P = .003).
CONCLUSION: The results of combined AAD plus high-dose 3DCRT are encouraging. To our knowledge, this is the first study showing an additional benefit of high-dose 3DCRT when combined with long-term AD for unfavorable disease.",1,PRIMARY,Biochemical Disease Free Survival: Estimated Percentage of Participants With Biochemical Disease-free Survival at 5 Years,Biochemical relapse was defined as the time from inclusion in the study (randomization) until the patient meets criteria for Biochemical failure (Phoenix criteria: PSA nadir plus 2 ng/ml).,Long Term Androgen Deprivation,Short Term Androgen Deprivation,"* Gosereline 3.6 mg 1 month plus 10.8 mg subcutaneously 3 months (total 4 months)
* Bicalutamide 50 mg tablet every day for 2 months
* High dose conformal radiotherapy
* Gosereline 10.8 mg by subcutaneous injection every 3 moths for 2 years at the end of the radiotherapy

Long term androgen deprivation: - Gosereline 3.6 mg 1 month plus 10.8 mg subcutaneously 3 months (total 4 months)

* Bicalutamide 50 mg tablet every day for 2 months
* Gosereline 10.8 mg by subcutaneous injection every 3 moths for 2 years at the end of the radiotherapy

Long term androgen deprivation: Minimum dose of 76 Gy (range 76-82 Gy)","* Gosereline 3.6 mg 1 month plus 10.8 mg subcutaneously 3 months (total 4 months)
* Bicalutamide 50 mg tablet every day for 2 months
* High dose conformal radiotherapy

Short term androgen deprivation: - Gosereline 3.6 mg 1 month plus 10.8 mg subcutaneously 3 months (total 4 months)

- Bicalutamide 50 mg tablet every day for 2 months

Short term androgen deprivation: Minimum dose of 76 Gy (range 76-82 Gy)",RADIATION,RADIATION,EXPERIMENTAL,ACTIVE_COMPARATOR,['0.01'],"['Regression, Cox']",['Superiority or Other'],2005-Sep-20
8562,NCT04646109,Study Group is superior to Control Group in terms of Changes in Serum Lymphocyte Counts From starting to the end of ivermectin therapy (0 to the end of 5th day),32251768,The FDA-approved drug ivermectin inhibits the replication of SARS-CoV-2 in vitro.,"Although several clinical trials are now underway to test possible therapies, the worldwide response to the COVID-19 outbreak has been largely limited to monitoring/containment. We report here that Ivermectin, an FDA-approved anti-parasitic previously shown to have broad-spectrum anti-viral activity in vitro, is an inhibitor of the causative virus (SARS-CoV-2), with a single addition to Vero-hSLAM cells 2 h post infection with SARS-CoV-2 able to effect ~5000-fold reduction in viral RNA at 48 h. Ivermectin therefore warrants further investigation for possible benefits in humans.",2,PRIMARY,Changes in Serum Lymphocyte Counts,"Baseline Serum Lymphocyte counts (cell/mm\^3) of the patients were recorded in both groups. Then, their treatments were started and Serum Lymphocyte counts at the end of the 1st (TD1), 3rd (TD3) and 5th days (TD5) were also recorded. The end of the 5th day was accepted as the primary endpoint. While the change in Serum Lymphocyte counts on the 1st, 3rd and 5th days after the basal level was calculated graphically, the change in the Serum Lymphocyte count at the end of the 5th day (primary endpoint) with the baseline count was compared statistically (the results were given as p value).",Study Group,Control Group,"In addition to HFA treatment, ivermectin 200 micrograms/kg/day (9mg between 36-50 kg, 12mg between 51-65 kg, 15mg between 66-79 kg and 200 micrograms/kg in \> 80 kg) in the form of a solution prepared for enteral use was added (HFA+I) to the treatment protocol of the study group's for five days. Blood sample was taken with the first dose of ivermectin and haplotype analysis was performed in ABCB1 and CYP3A4 genes in the whole study group.

Ivermectin: Ivermectin 5mg/5ml solution was manufactured by NEUTEC™ Pharmaceutical Company-Turkey, under ""Good Manufacturing Practices"" (GMP) certification conditions.","Patients who were hospitalised with a pre-diagnosis of severe COVID-19 pneumonia and thereafter diagnosis of COVID-19 was also confirmed microbiologically with PCR positivity in respiratory tract samples were included into the study. They were randomized to the control and study group, respectively. Hydroxychloroquine, favipiravir and azithromycin (HFA) standard treatment protocol were given to the control group as recommended in the ""COVID-19 (SARS-CoV-2 Infection) Guide"" prepared by the Republic of Turkey Ministry of Health.",DRUG,,EXPERIMENTAL,NO_INTERVENTION,['0.15'],['Wilcoxon (Mann-Whitney)'],['Superiority'],2020-Jun-N/A
3989,NCT02068118,Tele-cardiology Group is superior to Standard Care in terms of Number of All Causes Deaths and (Unplanned) Hospitalizations in NYHA Class III or IV Patients 18 months,32438483,Telemonitoring versus standard care in heart failure: a randomised multicentre trial.,"AIMS: The aim was to assess the effect of a telemonitoring programme vs. standard care (SC) in preventing all-cause deaths or unplanned hospitalisations in heart failure (HF) at 18 months.
METHODS AND RESULTS: OSICAT was a randomised, multicentre, open-label French study in 937 patients hospitalised for acute HF ≤12 months before inclusion. Patients were randomised to telemonitoring (daily body weight measurement, daily recording of HF symptoms, and personalised education) (n = 482) or to SC (n = 455). Mean ± standard deviation number of events for the primary outcome was 1.30 ± 1.85 for telemonitoring and 1.46 ± 1.98 for SC [rate ratio 0.97, 95% confidence interval (CI) 0.77-1.23; P = 0.80]. In New York Heart Association (NYHA) class III or IV HF, median time to all-cause death or first unplanned hospitalisation was 82 days in the telemonitoring group and 67 days in the SC group (P = 0.03). After adjustment for known predictive factors, telemonitoring was associated with a 21% relative risk reduction in first unplanned hospitalisation for HF [hazard ratio (HR) 0.79, 95% CI 0.62-0.99; P = 0.044); the relative risk reduction was 29% in patients with NYHA class III or IV HF (HR 0.71, 95% CI 0.53-0.95; P = 0.02), 38% in socially isolated patients (HR 0.62, 95% CI 0.39-0.98; P = 0.043), and 37% in patients who were ≥70% adherent to body weight measurement (HR 0.63, 95% CI 0.45-0.88; P = 0.006).
CONCLUSION: Telemonitoring did not result in a significantly lower rate of all-cause deaths or unplanned hospitalisations in HF patients. The pre-specified subgroup results suggest the telemonitoring approach improves clinical outcomes in selected populations but need further confirmation.",0,PRIMARY,Number of All Causes Deaths and (Unplanned) Hospitalizations in NYHA Class III or IV Patients,Composite morbidity-mortality criterion combining the number of unplanned hospitalizations for any cause and deaths from any cause (adjudicated events),Tele-cardiology Group,Standard Care,"The telecardiology program is a combination of a scale, a device asking the patients questions about the symptoms associated with their heart failure, and regular phone calls made by nurses.

Automatic algorithms have been built-up in order to detect early the need for a hospitalization due to heart failure.","Standard follow-up, with conventional monitoring involving consultations and monitoring by their general practitioners or referring cardiologists",DEVICE,,EXPERIMENTAL,NO_INTERVENTION,['=0.18'],['negative binomial regression'],['Superiority'],2020-Jun-N/A
